Month,Production_Pcs,Elec_Total_kWh,Elec_Renewable_kWh,Elec_DG_kWh,Cost_Grid,Cost_DG,Water_Fresh_KL,Water_Recycled_KL,Water_Washing_KL,Washing_Kg,Fuel_Wood_Kg,Fuel_Briquette_Kg,Cost_Boiler,KPI_Energy_Pc,KPI_Water_Pc,KPI_Wash_L_kg,Total_Cost
2025-01-01,141086.0,66650.0,10000.0,3132.0,615307.0,77112.8,1641.0,219.9,5.2,4415.0,61750.0,2430.0,1148.6758620689654,0.4724069007555675,11.631203663014048,1.1778029445073612,693568.475862069
2025-02-01,135634.0,73954.0,10000.0,3220.0,605365.0,74761.8,1653.0,208.1,5.2,3266.0,58600.0,0.0,1107.0500373412995,0.5452467670348142,12.187209696683722,1.5921616656460502,681233.8500373414
2025-03-01,119122.0,73625.0,10000.0,2991.0,662050.0,75326.04000000001,1686.0,236.5,0.0,0.0,51800.0,0.0,1207.080805295091,0.6180638337166938,14.153556857675325,0.0,738583.1208052952
2025-04-01,102996.0,67201.0,10000.0,1638.0,664058.0,57458.44,1670.0,219.3,6.3,5705.0,77500.0,0.0,1203.423076923077,0.6524622315429726,16.214221911530544,1.1042944785276074,722719.8630769231
2025-05-01,116082.0,78730.0,10000.0,1964.0,616256.0,51722.0,1659.0,257.2,7.8,8717.0,65290.0,0.0,11239.176310415249,0.6782274598990369,14.29162144001654,0.8948032580016061,679217.1763104153
2025-06-01,120954.0,13336.0,10000.0,3336.0,651795.0,93569.8,1693.0,263.4,6.8,0.0,57900.0,0.0,8882.19696969697,0.11025679183821949,13.997056732311457,0.0,754246.9969696971
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1733.0,223.6,8.6,0.0,0.0,0.0,0.0,,inf,0.0,0.0
2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
